COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,QUANTITY,UNIT_OF_MEASURE,UNIT_OF_MEAS_DESC,UNIT_PRICE,ITM_TOT_AM,MASTER_AGREEMENT,CONTRACT_NAME,PURCHASE_ORDER,AWARD_DATE,VENDOR_CODE,LGL_NM,AD_LN_1,AD_LN_2,CITY,ST,ZIP,CTRY,DATA_BUILD_DATE
8851635,"CHEMICALS, WATER TREATMENT","Powder Activated Carbon - @ $1,228.00 PER TON  Davis Water Treatment Plant for the months of JAN, FEB, MARCH 2025  Email invoices to: Admin.Davis@austintexas.gov  Chemical delivery notice to be emailed a minimum of 4 hours prior to delivery to: DavisCDN@cityofaustin.onmicrosoft.com",0.,,,0.,"36,213.72",MA2200GA210000054,ARQ - DAVIS - PAC - Q2 2025,DO220025010204874,01/02/2025,V00000938028,"Arq Purification, LLC",8051 E Maplewood Ave,Suite 210,Greenwood Village,CO,80111,US,04/06/2026
55089620023,APS - Pushbutton INS,APS Push Button INS (2-wire/ 3-wire compatible),128.,EA,Each,404.,"51,712.00",MA2400GA220000035,APS Push Buttons - INS,DO240025010204884,01/02/2025,CON1261250,CONSOLIDATED TRAFFIC CONTROLS INC,1016 ENTERPRISE PLACE,,ARLINGTON,TX,76001,US,04/06/2026
33000,FENCING,"Jan25- Allied Fence, Gen fence -WO66027-FS1, Hopkins    Project location: 401 E. 5th St.",0.,,,0.,"3,700.00",MA5000NA210000179,"Jan25- Allied Fence, Gen fence -WO66027-FS1, Hopkins",DO750025010204895,01/02/2025,ALL8314335,"Tony Parent Enterprises, Inc.","13350 OLD KIMBRO RD, BLDG A",,MANOR,TX,78653,US,04/06/2026
4050705,"ADDITIVES, FUEL",,0.,,,0.,"3,091.50",MA7800GA240000081,Bulk Fuels - Pinnacle - Weekly DO,DO780025010204887,01/02/2025,V00000905922,Pinnacle Petroleum Incorporated,16651 Gemini Lane,,Huntington Beach,CA,92647,US,04/06/2026
4502648,"HARDWARE, MISC., FOR DOORS",,0.,,,0.,"4,531.96",,Door Hardware replacement,PO460025010200608,01/02/2025,V00000973722,"RAE Security, Inc.",7102 W Sam Houston Pkwy N,Suite 100,Houston,TX,77040,US,04/06/2026
8408427,"CAMERA, VIDEO, INCLUDING PARTS AND ACCESSORIES",EDELKRONE LASER MODULE/REG - re: R201202-OMNIA,1.,EA,Each,150.44,150.44,,Edelkrone HeadPlus bundle (camera mount),PO870025010200609,01/02/2025,BHP6052500,B & H FOTO & ELECTRONICS CORP,420 9TH AVE,,NEW YORK,NY,10001-2404,US,04/06/2026
88566,Fluoride and Other Drinking Water Additives,"Fluorosilicic Acid @ $498.34 PER TON  Davis WTP for the months of JAN, FEB, MAR 2025  Email invoices to: Admin.Davis@austintexas.gov  Chemical delivery notice to be emailed a minimum of 4 hours prior to delivery to: DavisCDN@cityofaustin.onmicrosoft.com",0.,,,0.,"22,519.99",MA2200GA210000068,UNIVAR - DAVIS - FLUORIDE - Q2 2025,DO220025010204880,01/02/2025,VAN4974750,Univar Solutions USA LLC,12720 E US Hwy 92 trl: 427,,Dover,FL,33527,US,04/06/2026
8853830,"CHLORINE, LIQUID (FOR WATER PURIFICATION)","Liquid Chlorine, One-Ton Cylinder @ $2074.04 PER TON  Davis for the months of JAN, FEB, MAR 2024  Email invoices to: Admin.Davis@austintexas.gov  Chemical delivery notice to be emailed a minimum of 4 hours prior to delivery to: DavisCDN@cityofaustin.onmicrosoft.com",77.,TON,Ton,"2,074.4","159,728.80",MA2200GA230000057,PVS - DAVIS - CHLORINE - Q2 2025,DO220025010204877,01/02/2025,V00000992575,PVS DX INC,1919 Jacintoport Blvd,,Houston,TX,77015,US,04/06/2026
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT","This order is placed via MMCAP Contract # MMS{XXXXXXX} under {VENDOR NAME} City Contract MA 5000 GC230000005 and complies with the requirements set forth in 42 C.F.R.  1001.952(j).""",0.,,,0.,"5,083.95",MA5000GC230000005,medical supplies - emergency patient care,DO930025010204904,01/02/2025,VC0000102509,"Cardinal Health, Inc",7000 CARDINAL PLACE,,DUBLIN,OH,43017,US,04/06/2026
28561,"Meters, Indicating and Recording of Power Consumpt",,0.,,,0.,"9,394.55",MA1100NS230000035,Itron MV90 Software License and Maintenance - Jan-Dec 2025,DOM1100MAX216185,01/02/2025,ITR2562525,ITRON INC,2111 N. Molter Rd,,Liberty Lake,WA,99019,US,04/06/2026
8857848,"LIME, QUICK","Quicklime @ $365.00 per TON  Davis for the months of JAN, FEB, MAR 2025  Email invoices to: Admin.Davis@austintexas.gov  Chemical delivery notice to be emailed a minimum of 4 hours prior to delivery to: DavisCDN@cityofaustin.onmicrosoft.com",0.,,,0.,"651,133.78",MA2200GA240000085,TEXAS LIME - DAVIS - QUICKLIME - Q2 2025,DO220025010204879,01/02/2025,V00000983193,Texas Lime Company,5429 LYNDON B JOHNSON FWY,Ste 230,Dallas,TX,75240-2607,US,04/06/2026
